Слово, Частота, Частота(в %)
и,2778,3.66%
не,1935,2.55%
в,1648,2.17%
что,1270,1.67%
на,1250,1.65%
а,911,1.20%
митя,895,1.18%
с,782,1.03%
я,729,0.96%
он,675,0.89%
как,668,0.88%
маг,632,0.83%
то,581,0.76%
же,534,0.70%
к,527,0.69%
так,516,0.68%
но,510,0.67%
да,467,0.61%
его,454,0.60%
вы,442,0.58%
за,432,0.57%
у,402,0.53%
все,393,0.52%
это,384,0.51%
тут,382,0.50%
по,361,0.48%
из,355,0.47%
вот,334,0.44%
еще,286,0.38%
она,272,0.36%
от,266,0.35%
егор,250,0.33%
вас,223,0.29%
бы,209,0.28%
меня,209,0.28%
ее,205,0.27%
мне,199,0.26%
ты,195,0.26%
о,189,0.25%
нет,183,0.24%
или,182,0.24%
вам,173,0.23%
только,172,0.23%
если,170,0.22%
кто,167,0.22%
ну,158,0.21%
стешка,154,0.20%
господин,151,0.20%
уже,145,0.19%
может,143,0.19%
уж,141,0.19%
ж,136,0.18%
там,134,0.18%
чем,134,0.18%
раз,132,0.17%
было,130,0.17%
ведьма,129,0.17%
ему,124,0.16%
дмитрий,123,0.16%
до,120,0.16%
когда,120,0.16%
даже,117,0.15%
ли,115,0.15%
него,113,0.15%
себя,113,0.15%
мы,112,0.15%
где,112,0.15%
теперь,111,0.15%
точно,111,0.15%
для,109,0.14%
елена,108,0.14%
тот,107,0.14%
после,107,0.14%
едва,104,0.14%
сам,102,0.13%
александровна,99,0.13%
мага,98,0.13%
лебедева,97,0.13%
их,97,0.13%
чтобы,96,0.13%
сыщик,94,0.12%
нас,91,0.12%
сейчас,90,0.12%
тихонович,90,0.12%
без,90,0.12%
волшебница,86,0.11%
они,86,0.11%
ни,84,0.11%
дверь,84,0.11%
себе,83,0.11%
был,82,0.11%
есть,81,0.11%
под,81,0.11%
затем,80,0.11%
со,79,0.10%
лишь,76,0.10%
ничего,76,0.10%
чего,75,0.10%
захар,75,0.10%
того,73,0.10%
митю,71,0.09%
однако,70,0.09%
будет,70,0.09%
руку,68,0.09%
ей,67,0.09%
куда,67,0.09%
отчего,65,0.09%
знаю,65,0.09%
один,65,0.09%
кивнул,63,0.08%
магии,63,0.08%
ульяна,63,0.08%
сразу,63,0.08%
глаза,62,0.08%
вдруг,62,0.08%
голос,61,0.08%
будто,61,0.08%
рукой,59,0.08%
департамента,58,0.08%
надо,58,0.08%
такое,58,0.08%
этот,57,0.08%
ведь,57,0.08%
та,56,0.07%
ним,56,0.07%
них,55,0.07%
больше,55,0.07%
руки,53,0.07%
направился,53,0.07%
лучше,53,0.07%
тебя,53,0.07%
перед,53,0.07%
значит,53,0.07%
нее,53,0.07%
дело,53,0.07%
конечно,52,0.07%
хоть,52,0.07%
денщик,52,0.07%
такой,52,0.07%
место,50,0.07%
сюда,50,0.07%
тебе,50,0.07%
впрочем,50,0.07%
ней,50,0.07%
вновь,50,0.07%
рядом,49,0.06%
этом,48,0.06%
тем,48,0.06%
дома,48,0.06%
через,48,0.06%
всем,48,0.06%
нам,48,0.06%
софья,47,0.06%
вперед,47,0.06%
девушка,47,0.06%
другой,47,0.06%
кабинет,46,0.06%
словно,46,0.06%
какой,46,0.06%
этого,46,0.06%
чуть,46,0.06%
департамент,46,0.06%
именно,45,0.06%
мите,45,0.06%
более,45,0.06%
головой,45,0.06%
понял,45,0.06%
тоже,45,0.06%
лукерья,44,0.06%
разве,44,0.06%
можно,44,0.06%
хотя,44,0.06%
лебедевой,44,0.06%
собой,44,0.06%
сегодня,44,0.06%
быть,44,0.06%
чтоб,43,0.06%
при,43,0.06%
согласился,42,0.06%
хотел,42,0.06%
про,42,0.06%
принялся,42,0.06%
во,41,0.05%
видимо,41,0.05%
имеется,41,0.05%
время,41,0.05%
часть,41,0.05%
очень,41,0.05%
глядя,40,0.05%
решил,40,0.05%
добавил,40,0.05%
взглянул,40,0.05%
зачем,40,0.05%
вздохнул,40,0.05%
двери,40,0.05%
момент,40,0.05%
об,39,0.05%
домой,39,0.05%
мой,39,0.05%
день,39,0.05%
том,38,0.05%
пока,38,0.05%
сказать,38,0.05%
тогда,38,0.05%
взглядом,38,0.05%
над,38,0.05%
подле,38,0.05%
им,37,0.05%
потому,37,0.05%
просто,37,0.05%
прочь,37,0.05%
признался,37,0.05%
миг,36,0.05%
мог,36,0.05%
вами,36,0.05%
магу,35,0.05%
стало,35,0.05%
взгляд,35,0.05%
понимаю,35,0.05%
всех,35,0.05%
вчера,34,0.04%
сторону,34,0.04%
зеркало,34,0.04%
пальцами,33,0.04%
друг,33,0.04%
лицо,33,0.04%
простите,33,0.04%
давайте,33,0.04%
была,33,0.04%
дальше,32,0.04%
людей,32,0.04%
человек,32,0.04%
мити,32,0.04%
стороны,32,0.04%
губы,32,0.04%
наконец,32,0.04%
здесь,32,0.04%
столь,32,0.04%
туда,31,0.04%
нему,31,0.04%
ильинична,31,0.04%
софия,31,0.04%
мимо,31,0.04%
уточнил,31,0.04%
егора,31,0.04%
никто,31,0.04%
дом,31,0.04%
пару,31,0.04%
давай,31,0.04%
хорошо,30,0.04%
